Concelho,Long,Lat,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020
Lourinhã,-9.28621514624102,39.240098274891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,5,5,4,4,4,4,4
Lousã,-8.23220777932716,40.1191052615364,0,0,0,0,0,0,4,5,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8
Lousada,-8.27613927768953,41.2817687151587,29,27,33,38,38,42,44,52,52,55,60,64,81,87,92,93,98,98,107,115,124,124,128,139,139
Mação,-7.99270759776845,39.5933500874532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedo De Cavaleiros,-6.94259815939047,41.5402229146924,0,0,3,4,4,0,7,7,7,8,8,8,10,10,13,13,16,17,17,18,18,18,19,19,19
Mafra,-9.31204038245196,38.9547457932735,7,8,8,8,24,27,31,34,35,37,37,39,42,42,45,46,49,53,52,53,55,57,59,59,64
Maia,-8.60468207273833,41.2312127734518,104,119,157,171,219,296,313,293,328,361,390,404,422,444,465,485,512,543,565,588,600,645,672,686,714
Mangualde,-7.74713194119347,40.5991105657087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,34,35,50,50,50,50,51
Manteigas,-7.52799594386174,40.3962908320937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Marco De Canaveses,-8.17396623484734,41.1512256826699,3,4,0,0,9,15,18,17,20,21,24,26,27,28,30,30,39,42,43,45,45,45,47,51,52
Marinha Grande,-8.95349240527133,39.7789052286826,0,0,6,6,7,7,7,7,8,9,9,9,10,10,11,11,11,10,10,12,12,12,12,13,14
Marvão,-7.36128609197432,39.3954744250535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matosinhos,-8.66282537889886,41.2033389856386,54,56,81,107,189,254,295,273,303,347,368,386,395,400,416,425,444,619,643,682,715,768,798,824,845
Mealhada,-8.44282371517275,40.3601013323769,0,0,0,0,0,0,5,3,5,5,7,7,8,8,10,10,10,11,11,12,13,13,14,15,15
Meda,-7.25421789175689,40.9047560798835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melgaço,-8.24784133548996,42.0875501747554,0,0,0,0,0,0,4,4,5,5,7,7,7,8,9,12,14,14,14,14,14,15,23,31,32
Mértola,-7.68031367702595,37.6666320568896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesão Frio,-7.87628462902055,41.1630751370611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mira,-8.75021904260608,40.4294408828945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miranda Do Corvo,-8.32831639308428,40.1106823928227,0,0,0,0,0,3,4,3,5,6,6,6,6,6,7,7,8,8,8,8,8,8,9,11,11
Miranda Do Douro,-6.35086282922808,41.4926254123445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4
Mirandela,-7.18059305257892,41.4985715500072,3,3,5,6,8,10,10,11,11,11,11,12,14,14,14,15,13,15,17,17,17,17,17,17,17
Mogadouro,-6.68320857481199,41.3276607522326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moimenta Da Beira,-7.62994072481955,40.9742631626774,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,5,7,8,8,8,8,7,9,10
Moita,-9.01489820742124,38.6511187088697,4,5,5,5,10,12,12,22,29,29,29,30,31,32,35,38,40,51,51,51,52,53,54,56,58
