Concelho,Long,Lat,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020
Óbidos,-9.16786910504855,39.3602714816755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3
Odemira,-8.64199060381978,37.6266997078845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odivelas,-9.1919967661751,38.7956452638781,14,18,18,18,46,63,64,66,72,83,86,93,95,95,99,100,112,124,131,136,141,142,146,152,154
Oeiras,-9.26992775451772,38.7126125569546,16,17,17,17,47,74,79,70,78,93,100,116,120,125,142,146,152,161,163,167,168,180,180,182,186
Oleiros,-7.86803510530831,39.9430452814407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olhão,-7.82273319787362,37.0435452317767,0,0,0,0,0,3,3,3,5,5,7,7,7,9,9,9,9,10,11,11,12,12,12,13,13
Oliveira De Azeméis,-8.4739196634989,40.8531742794241,11,18,26,30,46,67,71,59,67,71,75,82,84,86,92,94,99,106,114,117,118,118,130,143,145
Oliveira De Frades,-8.22331234518822,40.7167853741272,0,0,0,0,3,7,7,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,6,6
Oliveira Do Bairro,-8.54933218684199,40.5175257003603,0,0,6,7,7,9,10,9,10,10,10,11,11,11,13,13,14,15,15,15,15,16,16,16,16
Oliveira Do Hospital,-7.864012058711,40.3641945733029,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,4,5,6,6,7,7,8
Ourém,-8.5877937770773,39.6688166009306,0,3,3,3,4,0,5,5,9,9,10,14,15,15,19,19,21,25,25,26,26,26,26,26,27
Ourique,-8.28633816821854,37.6505372820864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ovar,-8.62198321316794,40.8896543168231,55,58,119,145,145,159,241,159,194,209,220,222,238,224,247,273,275,379,403,409,416,435,455,487,498
Paços De Ferreira,-8.37615226306858,41.2856253074151,5,10,19,22,22,31,35,40,47,48,64,69,84,92,112,113,130,136,146,158,163,167,178,177,183
Palmela,-8.88350573442106,38.6116068465098,0,0,0,0,5,7,9,11,11,11,11,11,11,11,11,11,14,14,14,14,15,15,16,18,19
