CONCELHO,Lng Ponderado,Lat Ponderado,Pop,Area Ha,H,M,0-4,5-9,10-13,14-19,20-24,25-64,>=65
PENELA,-8.37497111318614,40.0076787138098,5983,13480,2841,3142,221,228,233,333,257,2957,1754
PENICHE,-9.3494666663296,39.3488414227393,27753,7754,99,13444,14309,1285,1380,1173,1683,1465,15065,5702
PESO DA RÉGUA,-7.7875986267072,41.174625866926,17131,9486,01,8111,9020,631,758,745,1258,1018,9368,3353
PINHEL,-7.1142373498753,40.7446410618699,9627,48452,13,4584,5043,242,361,318,496,464,4607,3139
POMBAL,-8.67242668322342,39.9206657989552,55245,62600,28,26432,28813,2297,2553,2321,3369,3057,28472,13176
PONTA DELGADA,-25.7037736626474,37.8029289787199,68809,23298,63,33516,35293,3707,4039,3725,5847,5065,38626,7800
Ponta do Sol,-17.0961465510579,32.7229610377465,8862,4622,09,4084,4778,446,565,489,715,523,4479,1645
PONTE DA BARCA,-8.38667145336283,41.7939070604224,12061,18211,38,5596,6465,411,505,504,790,639,6182,3030
PONTE DE LIMA,-8.58147950693847,41.7485155969009,43498,32025,48,20503,22995,1939,2268,2039,3155,2467,23010,8620
PONTE DE SOR,-8.03272283236805,39.2312843033595,16722,83971,16,8085,8637,593,722,636,1008,867,8650,4246
PORTALEGRE,-7.42592328024104,39.288404955517,24930,44713,65,11971,12959,984,1106,943,1358,1225,13501,5813
PORTEL,-7.72550063843308,38.3091269203202,6428,60100,57,3152,3276,235,264,253,339,346,3218,1773
PORTIMÃO,-8.55143468204795,37.1807524556173,55614,18206,29,26853,28761,2913,2915,2366,3315,2893,31008,10204
PORTO,-8.62097182800836,41.1617371877887,237591,4142,01,108104,129487,8463,9267,8475,14069,13122,129112,55083
PORTO DE MÓS,-8.82170072449557,39.5823848826926,24342,26183,39,11864,12478,1036,1248,1109,1588,1224,13077,5060
Porto Moniz,-17.1646129250122,32.8292176013632,2711,8293,53,1183,1528,92,100,115,164,155,1412,673
Porto Santo,-16.3425996540833,33.0685467631092,5483,4300,8,2746,2737,279,269,227,359,349,3269,731
PÓVOA DE LANHOSO,-8.26045784639972,41.5790065320186,21918,13465,29,10428,11490,968,1228,1074,1662,1326,11826,3834
PÓVOA DE VARZIM,-8.73818481647387,41.4014903433243,63408,8220,6,29958,33450,3148,3507,3012,4712,3694,35843,9492
POVOAÇÃO,-25.2542381619217,37.7668819446343,6327,10640,76,3091,3236,287,381,365,545,450,3388,911
PRAIA DA VITÓRIA,-27.1565564957107,38.7551015642019,21035,16127,06,10432,10603,995,1109,980,1659,1541,11870,2881
PROENÇA-A-NOVA,-7.86799030060477,39.7442093349994,8314,39539,96,3985,4329,208,251,264,447,396,3986,2762
REDONDO,-7.59846741696279,38.6232018742459,7031,36950,87,3434,3597,257,309,257,438,356,3603,1811
REGUENGOS DE MONSARAZ,-7.52159015028482,38.4134752984582,10828,46399,72,5274,5554,456,528,433,670,564,5563,2614
RESENDE,-7.94343023750327,41.0911361111915,11364,12334,91,5523,5841,454,544,551,886,667,5823,2439
Ribeira Brava,-17.0342646986383,32.6947601992996,13375,6544,96,6055,7320,614,868,706,1078,758,7121,2230
RIBEIRA DE PENA,-7.81843685998283,41.5002347441136,6544,21745,98,3196,3348,233,258,262,410,339,3292,1750
RIBEIRA GRANDE,-25.5140941924049,37.8005942724387,32112,18015,14,16184,15928,2471,2457,2057,3143,2659,16568,2757
