Concelho;Long;Lat;3/24/20;3/25/20;3/26/20;3/27/20;3/28/20;3/29/20;3/30/20;3/31/20;4/1/20;4/2/20;4/3/20;4/4/20;4/5/20;4/6/20;4/7/20;4/8/20;4/9/20;4/10/20;4/11/20;4/12/20;4/13/20
SAo JoAo Da Madeira;-8,490365401;40,89563151;0;0;3;9;13;28;32;25;28;30;31;32;32;35;35;36;36;41;44;44;45
SAo JoAo Da Pesqueira;-7,439720669;41,12553755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SAo Pedro Do Sul;-8,08301773;40,78510555;0;0;0;0;0;3;3;3;3;4;4;6;6;6;6;6;7;7;8;8;8
Sardoal;-8,144686849;39,55050327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SAtAo;-7,705599054;40,75382676;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5
Seia;-7,716080459;40,40555976;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;5;5;5;5;5
Seixal;-9,119275121;38,61116752;21;29;29;29;59;66;68;71;79;85;92;96;101;102;109;113;116;125;127;129;129
Sernancelhe;-7,503376252;40,91352187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Serpa;-7,490283787;37,93686554;0;0;0;0;0;0;0;0;0;3;3;3;4;4;6;6;6;17;17;17;17
SertA;-8,116064801;39,82391361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sesimbra;-9,090206536;38,51808934;4;4;4;4;7;10;11;10;10;9;10;12;13;12;13;13;16;17;17;17;17
SetUbal;-8,898659803;38,52236338;7;9;9;9;15;20;24;25;31;33;34;36;37;37;40;43;44;52;52;53;55
Sever Do Vouga;-8,362010235;40,7309276;0;0;0;0;0;3;3;0;0;0;0;4;5;5;5;5;5;5;7;7;7
Silves;-8,350263803;37,20857151;3;3;5;5;5;0;5;6;6;7;7;10;10;11;11;10;15;16;15;15;19
Sines;-8,781759696;37,94267309;0;0;0;0;0;0;4;3;3;4;3;4;4;3;4;4;4;4;4;4;4
Sintra;-9,313967902;38,78743253;39;43;8;8;116;148;159;167;192;224;242;254;269;278;299;310;334;358;374;394;397
Sobral De Monte Agraco;-9,167028306;38,99620102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Soure;-8,626300022;40,08219952;3;3;7;7;7;0;8;7;8;8;8;8;8;8;8;8;10;11;12;12;12
Sousel;-7,728486386;38,96364325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TAbua;-8,006467061;40,3479744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;4;4;15
Tabuaco;-7,568934883;41,10010029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tarouca;-7,763244228;41,02233513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tavira;-7,679630736;37,17894309;0;0;0;0;0;0;0;3;3;3;3;6;11;24;24;24;25;25;26;27;29
Terras De Bouro;-8,237431626;41,71430061;0;0;0;0;0;0;0;0;0;0;0;0;3;3;4;4;6;6;6;7;7
Tomar;-8,395595661;39,59368693;0;0;0;0;6;3;9;3;3;4;4;4;5;5;6;7;8;8;9;9;9
Tondela;-8,09338592;40,53760207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;8;7;8;8
Torre De Moncorvo;-7,035579362;41,1825956;0;0;0;3;3;0;3;0;0;0;0;0;12;12;18;18;19;19;21;22;22
Torres Novas;-8,542066403;39,49071086;0;0;0;0;3;0;4;0;0;0;3;4;4;4;7;7;7;9;9;9;9
Torres Vedras;-9,250505671;39,10032808;0;0;0;0;13;11;13;13;13;15;16;19;21;22;26;28;28;29;29;29;26
Trancoso;-7,336335806;40,78233486;0;0;0;0;0;0;5;0;3;0;0;0;0;0;0;4;10;10;11;12;12
Trofa;-8,568793433;41,31359809;0;0;8;8;14;29;30;31;35;42;45;43;48;56;57;59;66;72;75;79;84
Vagos;-8,683526951;40,51508339;0;0;3;4;5;0;5;5;5;6;7;7;8;8;9;9;9;11;13;13;13
Vale De Cambra;-8,371041357;40,84326476;3;4;3;5;15;24;25;22;23;23;25;31;33;36;39;40;44;48;52;55;60
Valenca;-8,624631747;42,00529887;0;0;0;0;0;0;0;0;3;3;3;3;4;4;4;5;6;6;6;6;6
Valongo;-8,518569469;41,21159195;65;71;100;108;139;184;202;210;233;275;308;320;344;364;387;397;429;455;464;479;491
Valpacos;-7,338662316;41,61114675;0;0;0;0;0;3;3;3;3;3;3;3;3;3;4;4;5;5;5;5;5
Vendas Novas;-8,485068121;38,67420331;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Viana Do Alentejo;-8,062379455;38,36952973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Viana Do Castelo;-8,77849446;41,69550504;7;7;19;19;24;33;36;33;34;34;38;39;49;68;75;79;82;87;95;104;104
Vidigueira;-7,758446978;38,19876891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vieira Do Minho;-8,127755366;41,62662463;0;0;0;0;0;0;3;3;4;6;6;8;9;9;9;11;13;13;13;14;15
Vila De Rei;-8,144894429;39,68230028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vila Do Bispo;-8,888403007;37,07606702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vila Do Conde;-8,710193908;41,33831458;8;8;12;15;22;32;39;34;39;39;40;47;47;47;49;50;55;68;77;86;130
Vila Flor;-7,154687582;41,30623338;0;0;0;0;0;0;0;0;0;0;0;0;3;3;5;5;5;5;5;5;5
Vila Franca De Xira;-9,039969379;38,89997931;5;6;6;6;16;22;24;22;26;30;34;35;36;36;42;44;48;55;60;61;62
Vila Nova Da Barquinha;-8,412812918;39,47714925;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
Vila Nova De Cerveira;-8,715474717;41,93687579;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;4;4;4
Vila Nova De FamalicAo;-8,490629678;41,40560011;12;14;44;48;48;61;71;93;99;107;110;121;143;145;150;154;168;180;193;211;225
Vila Nova De Foz COa;-7,180131008;41,07504212;0;0;0;0;0;0;19;0;0;0;0;0;0;0;7;7;69;70;70;70;68
Vila Nova De Gaia;-8,603155147;41,0926105;68;83;163;262;262;351;344;338;387;418;449;468;499;518;551;576;631;710;758;796;842
Vila Nova De Paiva;-7,763347998;40,86768959;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vila Nova De Poiares;-8,256998963;40,21159139;0;0;0;0;0;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Vila Pouca De Aguiar;-7,621468232;41,51042416;0;0;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Vila Real;-7,738566094;41,30532838;4;9;8;34;98;103;115;121;124;124;124;127;129;129;132;132;131;134;134;137;138
Vila Real De Santo AntOnio;-7,453594917;37,18923508;0;0;3;0;5;0;5;9;9;11;11;0;0;15;15;15;13;13;13;13;14
Vila Velha De ROdAo;-7,666667769;39,68570365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vila Verde;-8,455939171;41,65293756;0;0;0;5;10;14;15;25;30;36;41;41;43;44;48;49;57;57;62;70;87
Vila Vicosa;-7,401298009;38,76169755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vimioso;-6,543254934;41,5810699;0;0;0;0;0;3;3;3;4;4;4;4;6;7;7;7;7;7;8;8;8
Vinhais;-7,04768631;41,81747917;0;0;0;0;0;0;0;0;0;0;5;5;9;9;9;9;10;10;10;10;10
Viseu;-7,909497902;40,66672173;6;11;20;21;21;20;28;19;21;22;24;29;33;33;36;37;55;62;65;68;69
Vizela;-8,28582479;41,3736512;0;0;0;3;4;0;5;8;11;11;11;12;15;15;17;17;19;20;2;23;26
Vouzela;-8,123307148;40,6877635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
